left_sensor,med_sensor,right_sensor,sampling_time,left_motor,right_motor
29.72,27.61,14.58,0.05096030235290527,1.1768872647570106,2.8188945555748823
29.54,27.35,14.43,0.05033540725708008,1.274495156836075,2.7172903105474218
29.56,26.13,14.53,0.04923748970031738,1.2807519031903185,2.7108944803580313
38.95,23.01,14.45,0.052748918533325195,0.9790000000000001,3.0359999999999987
39.15,21.75,14.56,0.051644086837768555,0.9790000000000001,3.036
29.69,25.79,14.97,0.04862499237060547,1.213710843373493,2.7801552988224842
28.26,24.03,14.81,0.04782462120056152,1.2752023391812861,2.716566712898752
25.3,23.29,14.96,0.045775413513183594,1.3093566311014895,2.68182945489321
25.51,24.02,15.26,0.04659461975097656,1.331629038431231,2.659396196913144
28.45,26.65,33.18,0.05885481834411621,2.469065928053618,1.780701726345883
39.72,21.48,20.92,0.05663609504699707,1.0483357758863647,3.036000000000001
28.3,21.53,33.44,0.05809974670410156,2.264812326970712,1.7095329813103592
28.67,20.2,33.39,0.056754350662231445,2.154681529068564,1.70668532466138
28.56,20.58,33.44,0.05595874786376953,2.1896753907219066,1.7061375360723534
28.45,14.22,33.39,0.052636146545410156,2.15280055401662,1.6909250460782304
28.39,22.92,33.19,0.056636810302734375,2.3272618993998946,1.7413242466633891
28.74,24.43,42.14,0.06395149230957031,2.412888285145682,1.7216254283214008
28.31,24.44,15.51,0.04830455780029297,1.2881724840491122,2.7033268788575566
27.83,21.48,15.26,0.04683399200439453,1.146934764248479,2.8507781146822992
28.67,28.26,14.71,0.05037736892700195,1.3665322054307907,2.6245837758112094
22.38,29.55,14.52,0.04713702201843262,1.7218222634804636,2.2924527048269776
23.33,29.92,14.61,0.04835963249206543,1.7519597024178577,2.2660174683438514
25.82,21.31,14.66,0.044431447982788086,1.1683885714285716,2.8279069061364135
20.97,21.1,15.17,0.04186582565307617,1.4040119000396662,2.587660083388193
22.66,21.13,15.04,0.04286050796508789,1.2553782799748892,2.7369183469896683
